code,obj,date
002146.SZ,454046526,2019-01-29 07:49:01
002152.SZ,454050113,2019-01-29 08:25:41
002153.SZ,454050113,2019-01-29 08:25:41
002157.SZ,454324570,2019-01-31 19:05:34
002158.SZ,454270628,2019-01-31 09:08:33
002159.SZ,454324570,2019-01-31 19:05:34
002196.SZ,454361582,2019-02-01 07:15:04
002202.SZ,454309604,2019-01-31 00:00:00
002230.SZ,454050113,2019-01-29 08:25:41
002230.SZ,454365640,2019-02-01 08:07:30
002235.SZ,454357754,2019-02-01 05:52:01
002237.SZ,454270628,2019-01-31 09:08:33
002249.SZ,454350356,2019-01-31 17:32:47
002249.SZ,454312717,2019-01-31 17:04:25
002252.SZ,454361033,2019-01-31 19:50:04
002259.SZ,453968724,2019-01-28 11:15:20
002263.SZ,453990761,2019-01-28 16:18:43
002264.SZ,454247345,2019-01-31 01:05:29
002267.SZ,454161235,2019-01-30 09:05:48
002268.SZ,454161235,2019-01-30 09:05:48
002318.SZ,454006241,2019-01-28 19:00:29
002340.SZ,453954720,2019-01-28 09:06:18
002343.SZ,454316696,2019-01-31 18:04:49
002343.SZ,454362737,2019-01-31 23:18:14
002343.SZ,454360451,2019-02-01 07:02:07
002343.SZ,454364780,2019-02-01 08:02:55
002352.SZ,454360181,2019-02-01 06:54:50
002353.SZ,454330753,2019-01-31 20:14:35
002353.SZ,454309030,2019-01-30 16:21:04
002354.SZ,454364128,2019-02-01 07:54:01
002354.SZ,454351852,2019-02-01 02:15:47
002354.SZ,454362078,2019-02-01 07:25:42
002354.SZ,454361306,2019-02-01 07:12:51
002354.SZ,454316696,2019-01-31 18:04:49
002354.SZ,454303726,2019-01-31 15:22:09
002359.SZ,454330112,2019-01-31 20:07:34
002369.SZ,453954720,2019-01-28 09:06:18
002376.SZ,454050113,2019-01-29 08:25:41
002384.SZ,454229406,2019-01-30 20:42:09
002385.SZ,454161235,2019-01-30 09:05:48
002405.SZ,454161235,2019-01-30 09:05:48
002410.SZ,454267640,2019-01-31 08:42:48
002410.SZ,454050113,2019-01-29 08:25:41
002417.SZ,454362349,2019-02-01 07:31:32
002422.SZ,454349824,2019-02-01 01:06:29
002425.SZ,454353662,2019-02-01 03:45:36
002439.SZ,454050113,2019-01-29 08:25:41
002450.SZ,454240110,2019-01-30 22:46:20
002450.SZ,453968724,2019-01-28 11:15:20
002450.SZ,454360446,2019-02-01 07:02:10
002460.SZ,453954720,2019-01-28 09:06:18
002464.SZ,454360162,2019-02-01 06:54:37
002467.SZ,454054582,2019-01-29 09:09:18
002468.SZ,454360181,2019-02-01 06:54:50
002474.SZ,454161235,2019-01-30 09:05:48
002475.SZ,454330753,2019-01-31 20:14:35
002475.SZ,453977547,2019-01-28 13:36:01
002475.SZ,454049469,2019-01-29 08:19:10
002477.SZ,454359372,2019-02-01 06:34:02
002477.SZ,454365320,2019-02-01 08:05:45
002477.SZ,454360446,2019-02-01 07:02:10
002477.SZ,454346291,2019-01-31 23:55:49
002477.SZ,454316696,2019-01-31 18:04:49
002477.SZ,454336224,2019-01-31 21:33:22
002477.SZ,454364190,2019-02-01 07:54:34
002493.SZ,454161235,2019-01-30 09:05:48
002496.SZ,454095803,2019-01-29 17:01:26
002501.SZ,454365320,2019-02-01 08:05:45
002502.SZ,454364780,2019-02-01 08:02:55
002502.SZ,454349594,2019-02-01 01:03:36
002502.SZ,454316696,2019-01-31 18:04:49
002508.SZ,454304391,2019-01-31 15:31:51
002511.SZ,454169983,2019-01-30 10:08:30
002521.SZ,454270628,2019-01-31 09:08:33
002572.SZ,454348367,2019-01-30 00:30:16
002583.SZ,454363876,2019-02-01 07:49:52
002583.SZ,454366144,2019-02-01 08:14:23
002592.SZ,454095305,2019-01-29 16:55:25
002594.SZ,454042955,2019-01-29 07:02:16
002594.SZ,454049469,2019-01-29 08:19:10
002594.SZ,454364756,2019-02-01 08:02:45
002605.SZ,454005161,2019-01-28 18:47:05
002611.SZ,454293405,2019-01-31 13:52:05
002617.SZ,454349823,2019-02-01 01:06:26
002624.SZ,454267634,2019-01-31 08:42:44
002624.SZ,454222170,2019-01-29 19:37:14
002638.SZ,454350806,2019-01-31 14:51:00
002660.SZ,454350806,2019-01-31 14:51:00
002668.SZ,454363293,2019-02-01 07:41:16
002675.SZ,454346625,2019-02-01 00:02:23
002680.SZ,454316696,2019-01-31 18:04:49
002688.SZ,454362349,2019-02-01 07:31:32
002707.SZ,454352034,2019-02-01 02:31:07
002709.SZ,454283737,2019-01-31 10:56:50
002713.SZ,454356921,2019-02-01 05:26:33
002714.SZ,454324570,2019-01-31 19:05:34
002733.SZ,454354474,2019-02-01 04:08:44
002733.SZ,454350356,2019-01-31 17:32:47
002739.SZ,454364780,2019-02-01 08:02:55
002739.SZ,454360451,2019-02-01 07:02:07
002757.SZ,454361966,2019-02-01 07:23:37
002761.SZ,454193008,2019-01-30 14:55:48
002773.SZ,453975486,2019-01-28 13:05:31
002788.SZ,454356921,2019-02-01 05:26:33
002869.SZ,454349854,2019-02-01 01:06:40
002900.SZ,454363876,2019-02-01 07:49:52
002910.SZ,454365615,2019-02-01 08:07:17
002916.SZ,454304391,2019-01-31 15:31:51
002926.SZ,454356921,2019-02-01 05:26:33
002936.SZ,454184583,2019-01-30 12:33:44
002936.SZ,454147929,2019-01-30 02:08:00
002936.SZ,454219569,2019-01-30 19:04:38
002936.SZ,454248450,2019-01-31 01:31:09
300003.SZ,453975486,2019-01-28 13:05:31
300010.SZ,454316696,2019-01-31 18:04:49
300014.SZ,454309604,2019-01-31 00:00:00
300014.SZ,454357754,2019-02-01 05:52:01
300015.SZ,453975486,2019-01-28 13:05:31
300027.SZ,454360451,2019-02-01 07:02:07
300027.SZ,454362737,2019-01-31 23:18:14
300027.SZ,454316696,2019-01-31 18:04:49
300028.SZ,454316696,2019-01-31 18:04:49
300033.SZ,454147929,2019-01-30 02:08:00
300036.SZ,454348405,2019-02-01 00:31:28
300037.SZ,454309604,2019-01-31 00:00:00
300056.SZ,454193008,2019-01-30 14:55:48
300056.SZ,454366072,2019-02-01 08:13:48
300068.SZ,454324570,2019-01-31 19:05:34
300073.SZ,453987703,2019-01-28 15:48:57
300076.SZ,454095104,2019-01-29 16:54:31
300076.SZ,454316696,2019-01-31 18:04:49
300079.SZ,454357754,2019-02-01 05:52:01
300090.SZ,454363588,2019-01-31 23:14:34
300102.SZ,454350806,2019-01-31 14:51:00
300103.SZ,454349851,2019-02-01 01:06:35
300104.SZ,454362737,2019-01-31 23:18:14
300104.SZ,454348001,2019-02-01 00:23:55
